IOC_type,Value,Source_feed,Confidence_Additional_info,Last_modified_date
sha256,8f1d0ba030b897786c9ad6b68bb9165e539371648a8a60e2a6f1136647b5104e,Netskope Threat Labs,Malware | DBatLoader,2026-08-05
url,hxxps://cdn.discordapp[.]com/attachments/847360629584560142/885028441672532039/Kiadqkjagycberfiuzqcfghmimdpktc,Netskope Threat Labs,Malware | DBatLoader,2026-08-05
registry_key,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\windows explorer,Netskope Threat Labs,Malware | DBatLoader,2026-08-05
sha256,e89c137a4faa31d639492b045a78dd115468f9191143c302d165aefe85b3c06a,Netskope Threat Labs,Malware | DBatLoader,2026-08-05
ipv4:port,79.134.225[.]39:1990,Netskope Threat Labs,Malware | DBatLoader,2026-08-05
sha256,2c898cc8d4ed2e67effe5362bf7951143563a965057110d6b803b983e7db3eb5,Netskope Threat Labs,Malware | DCRat,2026-08-05
sha256,693e681c06e3b8f374bd5e25daa6c70d4947956f1aa5e1cb7a18f2da0844323f,Netskope Threat Labs,Malware | DCRat,2026-08-05
sha256,763c1f21d22b7215d36e2dbd52d141d71d9e540c19f631f63f151c283b91f0d8,Netskope Threat Labs,Malware | DCRat,2026-08-05
sha256,60665c8f8ff802fb116a4d761a812911a0cf209e5e56f48fdb566e94cc177c33,Netskope Threat Labs,Malware | DCRat,2026-08-05
domain,cr87986[.]tw1[.]ru,Netskope Threat Labs,Malware | DCRat,2026-08-05
sha256,1fb6b8bed3a67ee4225f852c3d90fd2b629f2541ab431b4bd4d9d9f5bbd2c4b7,Netskope Threat Labs,Malware | DarkGate,2026-08-05
sha256,567d828dab1022eda84f90592d6d95e331e0f2696e79ed7d86ddc095bb2efdc8,Netskope Threat Labs,Malware | DarkGate,2026-08-05
sha256,68952e8c311d1573b62d02c60a189e8c248530d4584eef1c7f0ff5ee20d730ab,Netskope Threat Labs,Malware | DarkGate,2026-08-05
sha256,d4e766f81e567039c44ccca90ef192a7f063c1783224ee4be3e3d7786980e236,Netskope Threat Labs,Malware | DarkGate,2026-08-05
